ranking,name,score,review_count,quote,detail_url,introduce
18,疯狂动物城,9.2,1729975人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,"导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
2016 / 美国 / 喜剧 动画 冒险"
19,大话西游之大圣娶亲,9.2,1405016人评价,一生所爱。,https://movie.douban.com/subject/1292213/,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装"
20,熔炉,9.3,855651人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,"导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
2011 / 韩国 / 剧情"
21,控方证人,9.6,463116人评价,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,"导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
1957 / 美国 / 剧情 犯罪 悬疑"
22,教父,9.3,871961人评价,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
1972 / 美国 / 剧情 犯罪"
23,当幸福来敲门,9.2,1394688人评价,平民励志片。 ,https://movie.douban.com/subject/1849031/,"导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
2006 / 美国 / 剧情 传记 家庭"
24,触不可及,9.3,976960人评价,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,"导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
2011 / 法国 / 剧情 喜剧"
25,怦然心动,9.1,1672040人评价,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,"导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
2010 / 美国 / 剧情 喜剧 爱情"
26,龙猫,9.2,1158809人评价,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,"导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
1988 / 日本 / 动画 奇幻 冒险"
27,末代皇帝,9.3,780577人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史"
28,寻梦环游记,9.1,1492056人评价,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,"导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
2017 / 美国 / 喜剧 动画 奇幻 音乐"
29,蝙蝠侠：黑暗骑士,9.2,965872人评价,无尽的黑暗。,https://movie.douban.com/subject/1851857/,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚"
30,活着,9.3,752477人评价,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,"导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
1994 / 中国大陆 中国香港 / 剧情 历史 家庭"
31,哈利·波特与魔法石,9.1,1049096人评价,童话世界的开端。,https://movie.douban.com/subject/1295038/,"导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
2001 / 美国 英国 / 奇幻 冒险"
32,指环王3：王者无敌,9.3,730890人评价,史诗的终章。,https://movie.douban.com/subject/1291552/,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险"
33,乱世佳人,9.3,631123人评价,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,"导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
1939 / 美国 / 剧情 历史 爱情 战争"
34,素媛,9.3,619670人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,"导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
2013 / 韩国 / 剧情"
35,飞屋环游记,9.1,1212656人评价,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
2009 / 美国 / 剧情 喜剧 动画 冒险"
36,摔跤吧！爸爸,9.0,1440703人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,"导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
2016 / 印度 / 剧情 传记 运动 家庭"
37,我不是药神,9.0,1920844人评价,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/,"导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
2018 / 中国大陆 / 剧情 喜剧"
38,何以为家,9.1,945473人评价,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,"导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情"
39,十二怒汉,9.4,435006人评价,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/,"导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
1957 / 美国 / 剧情"
40,哈尔的移动城堡,9.1,918759人评价,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/,"导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
2004 / 日本 / 动画 奇幻 冒险"
41,少年派的奇幻漂流,9.1,1247486人评价,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,"导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险"
42,鬼子来了,9.3,565537人评价,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
2000 / 中国大陆 / 剧情 喜剧"
43,大话西游之月光宝盒,9.0,1120356人评价,旷古烁今。,https://movie.douban.com/subject/1299398/,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装"
44,猫鼠游戏,9.1,888848人评价,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
2002 / 美国 加拿大 / 传记 犯罪 剧情"
45,天空之城,9.1,752685人评价,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/,"导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
1986 / 日本 / 动画 奇幻 冒险"
46,闻香识女人,9.1,796017人评价,史上最美的探戈。,https://movie.douban.com/subject/1298624/,"导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
1992 / 美国 / 剧情"
47,天堂电影院,9.2,630873人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
1988 / 意大利 法国 / 剧情 爱情"
48,指环王2：双塔奇兵,9.2,682483人评价,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险"
